rule_id,dimension,phenotype_kind,symptom_signal,root_cause,detection_heuristic,negative_impact,refactor_action,constraints,acceptance_criteria,priority,effort,components_affected,tokens_refs,notes
UIUX-001,Visual,AI_typisk,"Hero med H1 + kort subhead + primær/sekundær CTA, efterfulgt af feature-cards og FAQ",Skabelonisering via almindelige SaaS-landingsidestrukturer og boilerplates,Visuel inspektion: samme sektionrækkefølge på forsider; komponentnavne som Hero/Features/Testimonials/FAQ,Lav differentiering og svag opgaveprioritering; siden ligner 'demo',"Bevar sektionerne, men skift til editorial hierarki: tydeligere typografisk rytme, mindre symmetri, færre indramninger, stærkere sektionstitler og mere præcis CTA-mikrocopy",Ingen omrokering af sektioner; kun styling/copy/tokens,Hero-CTA beskriver konkret handling; mindst 30% færre cards/indramninger ved samme indhold; sektiontitler er unikke og domænenære,P0,M,"Hero, FeatureSection, FAQ","typography, spacing, borders, copy",
UIUX-002,Visual,AI_typisk,Card-overforbrug (alt indhold er i kort),Default-komponentbiblioteker og høj sandsynlighed for 'pænt',Søg i codebase efter Card/Panel/Surface overrepræsenteret; UI: mange bokse omkring tekst,Visuel støj; svag hierarkisering; unødige kanter,"Konverter udvalgte cards til flade sektioner med dividers, overskrifter, og kontrolleret whitespace; brug cards kun hvor det signalerer grouping eller handling",Bevar DOM-struktur så vidt muligt; ingen ændring af dataflow,Mindst 25% reduktion i Card-brug på landingssider; stadig samme indhold og interaktioner; forbedret læsbarhed (linjelængde og spacing),P0,M,"Card, Sections","borders, spacing, layout",
UIUX-003,Brand,AI_typisk,"Standard Tailwind/shadcn signatur (samme radius, skygger, gråtoner)",Default tokens og uændrede theme-variabler giver konvergens,"Tjek tailwind.config, globals.css, shadcn theme; UI ligner standard-demo",Lav brand-egenart; forvekslelighed,"Indfør distinkte tokens: neutrale farver med egen temperatur, radius-variation, skyggehierarki, og konsekvent divider-strategi",Ingen nye dependencies; ændr tokens/variants,Alle primære komponenter bruger nye tokens; visuel identitet er konsistent på tværs af sider,P0,M,"Theme, Button, Input, Card","colors, radius, shadows, borders",
UIUX-004,Visual,AI_typisk,Gradients/glow som default-accent uden semantisk funktion,Gradients fungerer som lav-risiko 'modernitetssignal',"Find i CSS/Tailwind: bg-gradient*, blur, glow, ring-opacities; UI: mange farveovergange",Pynt uden mening; reducerer læsbarhed og seriøsitet,"Fjern eller begræns gradients; erstat med flade accentfarver, tydelige kontraster og få, velbegrundede highlights (fx status, fokus)",Bevar layout; kun styling,Gradients findes kun i 0–2 nøglesteder med begrundet rolle; ingen baggrundsglows i body/hero,P1,S,"Backgrounds, Buttons","colors, backgrounds",
UIUX-005,Typography,AI_typisk,Inter-lignende typografi uden særpræg; for store H1’er og ens vægt,Default fontvalg og generiske hierarkier,"Tjek font-stack; UI: ensartet sans, få vægtgrader",Mindre 'menneskelig' typografisk stemme; svagt hierarki,"Indfør typografisk system: mindre H1, bedre line-height, differencier vægt/spacing, evt. sekundær font til overskrifter hvis allerede tilladt",Ingen nye fontdownloads hvis ikke allerede i projektet; ellers brug systemfonts/eksisterende,Overskrifter og brødtekst har tydelig rytme; line-length 55–80 tegn; ingen overskrifter der dominerer uden grund,P1,M,"Headings, Body text","typography, spacing",
UIUX-006,Copy,AI_typisk,"Generisk SaaS-copy (”seamless”, ”powerful”, ”streamline”)",Træningsdata indeholder standard marketing-fraser,Søg i tekst efter buzzwords; UI: uklare løfter,Lav tillid; lav domænepræcision,"Omskriv mikrocopy til opgave- og konsekvensorienteret sprog: hvad gør knappen, hvad sker der efter klik, hvad kræves af bruger",Ingen ændring af funktion; kun tekst,Alle CTA’er beskriver handling og objekt; ingen tomme superlativer; fejltekster siger hvad man skal gøre nu,P0,M,"Buttons, Headings, Help text",copy,
UIUX-007,Interaction,AI_typisk,Animation for animationens skyld (fade/slide/scale på mange elementer),’Premium’-signal uden opgavebegrundelse,Find framer-motion/animate-* overalt; UI: mange hover/scroll-effekter,Distraktion; performance-omkostning; kognitiv støj,"Reducer til få, funktionelle mikrointeraktioner (fokus, feedback, state-skift). Fjern on-scroll reveal på teksttunge sektioner",Ingen flowændring,Animationer er begrundet og få; ingen uendelig motion på informationsindhold; interaktionsfeedback er konsistent,P1,S,"Motion wrappers, Buttons","motion, transitions",
UIUX-008,IA,AI_typisk,For mange elementer er lige vigtige; svag prioritering,Symmetri bruges som erstatning for beslutning,UI: mange lige store cards/tiles; ingen tydelig primær handling,Bruger tøver; lav effektivitet,"Forstærk primær handling via typografi, placering (uden at flytte sektioner), og reducer sekundære visuelle signaler",Bevar struktur; justér vægt og kontrast,Primær CTA er entydig; sekundære handlinger er tydeligt sekundære uden at blive skjult,P0,M,"Hero, Nav, Primary actions","hierarchy, contrast",
UIUX-009,Consistency,AI_typisk,Inkonsekvent spacing (p-4/p-6/p-5 tilfældigt),Generering i fragmenter giver inkonsistens,Scan Tailwind-klasser for spacing-varianter; UI: ujævn rytme,Visuel 'billighed' og træthed,Fastlæg spacing-skala (fx 4/6/8/12/16) og refaktorér komponenter til den,Ingen markup-omrokering; kun klasser/tokens,Spacing følger defineret skala; visuel rytme er stabil på tværs af sider,P0,M,All components,spacing,
UIUX-010,States,AI_typisk,Happy-path design; manglende empty/loading/error states,Modellen designer typisk til demo-data,Find komponenter uden conditional UI; test med tomme arrays og fejl-responses,Brudt oplevelse i drift; lav robusthed,"Implementér states i eksisterende komponenter: skeletons, tom-tilstand med næste-skridt, fejl med retry/diagnose (uden ny funktionalitet)",Ingen nye flows; brug eksisterende callbacks,Alle lister/forms har synlige states; ingen blanke sider; fejl er forståelige og actionable,P0,M,"Lists, Forms, Data views","states, copy",
