Sygdom 	Tyngde 	Emne 	Definition 	Forekomst 	Patogenese 	Ætiologi 	Symptomer og fund 	Diagnostik 	Følgetilstande 	Behandling 	Forebyggelse 	Prognose	prioritet
													
Reumaroid artrit (leddegigt)		Bevægeapparatets sygdomme	Inflammatorisk lidelse. Angreb på synoviallisbeklædte strukturer (Håndled, kno- og mellemled på fingre). Symmetriske angreb. 	Prævalensen er ca. 1%, hyppigere set hos kvinder [3:1]. 4 gange øget risiko for førstegradsslægtninge. 12-50% hvis den ene enæggede tviling er syg. Overhyppighed af vævstypen HLA-DR 4 (70% af patienterne). Antallet af nye tilfælde er størt i alderen 20-40 år, men kan opstå hele livet. 	Øm hævelse af synovialis og ved længere varighed til pannus-dannelse, hvor der opstår udvækser på synovialis med inflammatorisk aktive celler. 	Ætiologien er endnu ukendt. Antages at der er samspil mellem genetiske faktorer og en immunaktiverende mekanisme, hvori der indgår autoimmune rekationer. Hos nogle patienter ses antistoffer for anti-CCP, der opstår efter citrullering - det antages derfor, at det for nogle patienter kan opstå efter toksisk påvirkning. Mange patienter har tillige reumafaktorer (antistoffer), der gradvist aktiverer de omtalte immunreaktioner, hvilket kan påvises mange år før dianogsen stilles. 	Kan opstå akut eller gradvist tiltagende ømhed af led og smerte ved anstrengelse. Ofte symmetirske for mellemfingerled, håndled og knoled sat angreb på knæled og skuldre. Ved kraftige angeb er der almenpåvirkning. Ca. 1/5 af patienterne har Sjögrens sygdom. Symptomer såsom træhed, ledhævelse, ødemer omkring leddet, udtalt ømhed, ledstivhed (især om morgenen). Som følge opstår muskelsvaghed og atrofi, hvilket betyder instabilitet og bevægeindskrænkning. Hyppigt ses seneskedehindebetændelse i fingrenes bøjesener.    	Dianogsen stilles når 6 ud af 10 mulige point er opfyldt af ACR/EULAR klassifikationskriterier. Ca. 80% har målbare antistoffer, typisk anti-CCP rettet mod citrullin eller reumafaktorer. Visse røngentforandringer såsom udtyndet knogle op til ledene, ledspalteforsnævring, erosioner, lednære cyster og leddeformitet. Ultralyd er velegnet til at se væskeansamlinger. 	Betændelsen i ledhinden kan gennemerodere sener og medføre til delvis eller total seneruptur. Både led og og slimsæt kan blive inficeret, der kan være meget aggresive og ødelæggende på få dage. 	NSAID anvendes til kombineret smertelindring og en vis lokal dæmpning, disse har dog alvorlige bivirkninger fx blødning fra mavesærk og tarm. Binyrebakrhormon har effektiv virkning, men bivirkningerne afholder lægerne fra udpræget brug. Bivirkningerne kan være udtynding af væv, ændret fedtfordeling (måneansigt) og vægtøgning. Ikke-biologiske lægemidler anvendes til at dæmpe immunsystemet, hvilket på længere sigt er den vigtigste . Denne behandling er dog meget dyr, hvorfor den først anvendes, når anden behandling har vist sig at være utilstrækkelig. En operation og udskiftning af led ses kun i svære tilfælde. Oplysninger om sygdommen kan motivere patienten til at overholde behandlingsregimer. Ergoterapi lærer patienten at bruge svækkede led og opnå højere funktionsniveau. 	Da ætiologien ikke er fastlagt, er det ikke muligt af forebyggge  sygdommen udover at undgå tobak, da det medfører citrullering af lungerne. 	Kan vise sig som enkeltstående anfald, men er hyppigst en kronisk sygdom med et ofte livslangt forløb. Nogle patienter udvikler inflammatoriske angreb på andet væv fx lungehinden , hjertehinderne eller på blodkar. Livslængden afkortes med ca. 10 år ved aktiv sygdom. 	Høj
Bechterews sygdom (rygsøjlegigt)		Bevægeapparatets sygdomme	Kronisk inflammatorisk gigtsygdom, der angiber bækkenled, rygsøjle og de centralt placerede led (brystben, hofte og skulder). 	Forekommer hos ca. 0.1% af befolkning, hvoraf 95% af patienterne har vævstypen HLA-B27. Rammer mænd hyppigere [5:1]. Sygdommen debuterer oftest i alderen 20-40 år. 	Periodevise inflammatoriske angreb på led og senfæster, hvorefter der er opheling med knogledannelse. Det medfører tiltagende brodannelse mellem knogle og senefæster der fører til stivhed af leddet. Rygsøjlen kan komme til ar ligne en bambusstok på røngent pga. denne forbening. 	Risikoen er 90 gange større, hvis man har vævstypen HLA-B27, men 10% af patienterne har ikke den vævstype, hvorfor der må være andre faktorer, der spiller en rolle. Der er stadig en uafklaret forbindelse mellem tarmen og dens bakterier, da alle patienter med rygsøjlegigt har udbredte tarmforandringer. 	Oftest ses en ung mand med tiltagende lændeproblemer med natlig forværring og mogenstivhed, der i lang tid kan ligne al anden lændesmerte. Foroverbøjning i ryggen lindrer smerter, hvorfor at ryggen stivner i en foroverbøjet stilling. Ved angreb på hofter og skuldre er der smerter og nedsat bevægelighed. 	På røngentbilleder forekommer en fortætning af knoglen omkring bækkenleddene, forkalkning af den længdegående sene fortil på rygsøjlen og brodannende knoglelementer i de øvrige sener ved ryghvivlerne. Ignosen sikres ved MR scanning af ryg og bækkenled. 	Stivheden i ryggen kan blive så udtalt, at patienten kan have svært ved at løfte hovedet for at se. I takt med at knoglevævet udtyndes stiger risikoen for brud. Den stive brystkasse kan hæmme lungefunktionen. 	Træning anvendes til at modvirke stivheden, og patienten bør have adgang til varmtvandsbassin og træning med en fysioterapeut. NSAID har god virkning på smertne, men mere udtalte angreb må dæmpes med biologisk medicin. 		Kronisk tilstand, og mangeårige rygsmerter. Påvirker ikke livslængden. 	Høj
Psoriasisartrit (psoriasisgigt)		Bevægeapparatets sygdomme	Kronisk gigt i led hos patienter med psoriasis. 	Psoriasis findes hos 2% af befolkning, hvoraf 5% rammes med artrit. Debuterer ofte i alderen 30-40 år. I 20% af tilfældene involverer sygdommen rygsøjlen.  	Kan være svært at skelne fra RA, men angrebene sidder mere i senernes tilhæftning. Ekstra tendens til at angribe senefæster, især på foden (fx akillessenen). Angrebet på rygsøjlen minder om anden rygsøjlegigt og er associaseret med vævstypen HLA-B27. 	En immunsygdom, hvor både arv og miljø er med i udviklingen. 	Angrebene er som regel assymmetriske og angriber også yderste fingerled. Der er ingen sikker forbindelse mellem intensiteten af hudforandring og gigten, men som regel udvikles gigten efter	Blodprøverne er som regel helt nomrale, men ved kraftige angreb kan c-reaktivt protein stige. Anti-CCP og IgM-reumafaktorer er negative. Ved røngent kan erosionerne ligne rematoid atrit forandringerne, men har til tider kraftige knoglebroer langs ledspalten. 		NSAID har nogen effekt på smertene og er eneste behandling ved lettere tilfælde. Ved mere betydende ledlidelse gived medicin som ved RA, hvor methotrexat dog virker bedre på psoriasis end gugten i leddene. 			Ikke pensum
Reaktiv gigt 		Bevægeapparatets sygdomme	Reaktiv gigt er en steril (uden mikroorganismer til stede) gigt, der udvikles efter en infektion andetsteds i kroppen. Sygdommen har sammenhæng med vævstypen HLA-B27.	Rammer yngre voksne og ca. 2300 tilfælde pr. år. 	Der er en sammenhlng med netop overståede infektioner, hvor det typisk tager 2-3 uger før den reaktive tilstande udvikles, men ofte findes årsagen ikke. 	Nogle virus og bakterier kan give reaktiv gigt. 60-90% af patienterne har vævstype HLA-B27. Efter to til tre uger ses asymmetrisk artrit typisk i knæ eller ankler, især hos yngre voksne. Ca. 1/3 har langvarige forløb. 	Ledsymptomerne er det ventrale med typisk perifer gigt i knæ eller ankler. Der kan være blakket udslet på penis og skællende udslet i håndfladerne og på fodsåler. Der kan være udtalte smerte i hælen så patienten dårligt kan gå. Triaden, artrit, øjenbetændelse og urinrørsbetændelses set efter tarminfektioner kaldes Reiters syndrom. 	Ledvæsken er steril. C-reaktivt protein kan være forhøjet. Man får ikke noget ud af røngent ved akutte tilfælde, men ved længerevarende rygsøjlegigt eller inflammation i senefæster kan der ses knoglenydannelse. 	1/5 af patienterne udvikler en mere kronisk gigt, men mere almindeligt er en lidt tilbagevendende led/rygbesvær uden egentlig ledhævelse. 	Behandling med NSAID og aflastning, idet større ansamlinger af led bør punkteres og evt. behandles lokalt med injektioner af binyebarkhormon. 	Da tilstanden udvikles af en række forskellige infektionssygdomme er forebyggelse vanskelig. 	På længere sigt opnår flertallet fuld remission (heldbredelse). 	Høj
Sjögrens syndrom 		Bevægeapparatets sygdomme	Klinisk syndrom, der karakteriseres ved tørre slimhinden i øjne, mund og evt. andre organer pga. inflammation i slimhindernes kirtler. Ses både enkeltstående og i forbindelse med anden immunlidelse. 	Hyppigste inflammatoriske, reumatiske sygdom. Optræder primært hos midaldrende og ældre kvinder. Ca. 2-3% i aldergruppen over ca. 50 år. Rammer kvinder hyppigere [10:1]. For befolkningen som helhed er forekomsten 0.5% og optræder hos ca. 15% af patienterne med reumatoid artrit. 	I tåre- og spytkirtlerne ses lymfocytinfiltration med hyper.reaktive B-lymfocytter. Der ses endvidere en forøget mængde cirkulerende autoantistoffer. I sidste ende fører sygdommen til degenreation af kirtelvævet med nekrose og til slut atrofi, der medbvikrer fald i produktionen af tåre og spytvæske. 	Grundlæggende ukendt, men sygdommen har vis arvelig komponent. 	medfører udtalt tørhed og svie i munden. Generende øjentørhed og kløe/rødme. Ørespytkirtlen kan hæve og give smeter. 	Flertallet har positive kerneantistoffer. Øjenvæskeproduktion måles med Schirmers test. En helt sikker diagnose kræver påvisning af inflammatoriske forandringer i spytkirtelbiopsi fra læben, men oftest nøjes man bare med de kliniske tegn suppleret med blodprøver. 	Pga. manglede spytsekretion er dårlig tandstatus meget almindelig. Der ses i sjældne tilfælde inflammation i kroppens serøse membraner (lungehinde, bughinde og hjertehinde). Øget risiko for at udvikle non-Hodgkin-lymfom ift. Baggrundsbefolkningen. 	Behandles med kunstig tårevæske, sukkerfri, syrlige bolcher/tyggegummi/vand. 		Tilstanden er kronisk. Pronogsen for livslængden er god. 	Ikke pensum
Polymyalgia reumatika (muskelgigt) 		Bevægeapparatets sygdomme	Inflammatorisk lidelse i kar og muskler, fortrinsvis i hoved, nakke og skulderregionen. 	prævalensen er 0.1%. Dobbeltså mange kvinder som mænd [2:1]. Ses sjældent før 60-års alderen. I DK ses betændelse i tindingepulsåren hos ca. halvdelen af patienterne. 	Fundet af kæmpeceller i en karbiopsi giver diagnosen. Vaskulitis angriber øvre del af kroppen ud fra legemspulsåren. 	Ukendt	Patienten klager over hovedpine, muskelømhed i nakke/skulderregion, influenzalignende symptomer med feber, træthed og evt. vægttab. Der kan være ømhed omkring tindingen og patienten kan også få synsnedsættelse pga. nedsta blodforsyning. En dramatisk effekt af binyebarkhormon med symptomsvinden på få dage bestyrker dianogsen. 	I en biopsi fra arterie temporalis ses kæmpecelleartrit. C-reaktivt protein er forhøjet. 	Ved aflukning af arteria opthalmica kan pluselig og irreversibel blindhed forekomme. 	På mistanken alene sætte patienten i behandling med høje doser prednisolon. Dosis trappes ned over nogle uger til en vedligeholdelsesdosis og fortsættes i ét til to år, hvorefter der forsøges at aftrappe efter et år uden symptomer. 		Ved behandling i tide er pronogsen god, hos flertallet går tilstanden i ro efter nogle år. 	Ikke pensum
Artritis urica (urinsyregigt)		Bevægeapparatets sygdomme	En ledsygdom med inflammation i synovialmembranen udløst af urinsyreskaller udfældet i leddet. 	Prævalensen er 1-2%. Hyppigheden stiger med alderen og rammer oftest mænd [10:1 ]. Der sker også en vis udligning af kønsforskellen. 	Sammenhæng mellem mængde af urinsyre i kroppen og sygdommen. Urinsyren aflejres i huden, hvor der især over knoer og albuen dannes knudere eller i ledhinden, hvor inflammationen opstår ved frigørelse af krystallerne i leddet. 	Urinsyremængden kan øges pga. øget optag fra føden, øget produktion i kroppen ved stort turn-over af celler (cancer, psoriasis) eller pga. nedsat renal udskillese. Der er en uforklaret, men betydelig forbindelse mellem alkoholindtagelse og anfald. 	Rammer traditionelt set den overvægtige mand, der indtager store mængder goder. Alkohol kan også udløse anfald. Akutte anfald er umådeligt punefuldt og der ses klassiske tegn på inflammation lokalt i relation til leddet og smerter ved tryk. Angiber typisk storetåens grundled. Ved den kroniske lidelse dannes tofi (knuder), hvilket bevirker gradvis leddestruktion. 	Ved akutte anfald sikres diagnosen ved polarisationsmikroskopi med fund af uratkrystaller i ledvæsken. Ikke bakterier, men mange hvide blodlegemer. Urinsyreniveau er som regel forhøjet i blodprøve. 	Ca. halvdelen af patienterne får kun ganske få eller ét enkelt anfald, hvilket svinder ubehandlet efter uger. Kun få patienter udvikler svær kronisk form, mens en del har tilbagevendende ledproblemer. 	I akut fase: NSAID kolkicin (inflammationshæmmende medicin), binyrebarkhormon. Langsigtet behandling: ændret livsstil, allopurinol 	Ved gentagene anfald forebygges det med allopurinol (medicin der hæmmer dannelsen af urinsyre). Derudover vægttab. 	Prognosen er god, så længe patienten kan motiveres til at følge behandling og råd angående livsstil. Hvis det ikke er tilfældes risikeres patienten med kroniske ledsymptomer og risikoen for aftagende nyefunktion pga. dannelse af nyresten. 	Høj
Osteoartrose (slidgigt) 		Bevægeapparatets sygdomme	Ledlidelsen med smerter eller funktionsnedsættelse i sammenhæng med degenerative forandring i ledbrusk og lednær knogle. 	Kvinder udvikler hyppigere osteoartrose i knæled og fingrenes 1. led, hvorimod mænd oftere rammes af hofteartrose. Ca. 50% af alle 50-årige har artroseforandringer på røngent, det samme ses hos 90-100% hos de 80-årige. Ved overvægt øges risikoen med 15%. 	Artrose opstår som slutprodukt af en multifaktoriel skade på ledbrusk og lednær knogle. Kemisk sker der en øges produktion af brusknedbrydende enzymer udskilt af cellerne i leddet. Et tiltagende tab af brusk, hvilket gør brusken mindre modstansdygtig for tryk. Først bliver det glatte lag slidt af, hvorefter der kan komme små revner i brusken og dele kan slides af.	Det er omdiskuteret om træning i sig selv slider på brusken, men der er en vis sammenhæng mellem belastning og udviklingen af artrose i berørte led. Yderligere belastning på ramt led forværrer tingene, men total aflastning er lige så slemt. 	I begyndelsen opstår der ledsmerter efter belastning, senere kommer belastningstriaden igangsættende smerter, en vis lindring efter let aktivitet og igen smerter efter yderligere aktivitet. Smerten kan opstå akut, især ved hvile og nat. Ledstivhed. Bevægelsesindskrænkning. Skurren når led bevæges, disse lyde kan ikke forveksles med knæklyde. Synlig hævelse forårsaget af en forøget mængde knoglevæv. Skævt slid på brusken kan føre til fejlstilling efter sammenfald af ledfladen. Ovenstående symptomer summer sammen op til tab af muskelkraft, hvilket medfører funktionstab. Artrose rammer ofte i yderled og mellemled af fingre, hvilket kan påvirke hverdagen meget. Patienten rammes i skulder (smerte ved brug af armen), hofte (haltende gang), knæ (patienten bliver tiltagene hjulbenet eller får kalveknæ). SYmptomer forværres af overvægt. 	Diagnosen stilles ved en røngentundersøgelse, hvor ledspalten fremstår smallere end normalt. Fortætning af knogle under ledflade, cystedannelse og evt. sammenfald af ledfladen. 	  Artrose på underekstremiteten kan lede til overvægt grund inaktivitet. Det er vigtigt at følge funktionen af leddet og søge at undgå svækkelse som følge af artrosens påvirkning. 	Der gives medicinsk behandling mod smerter og inflammation (NSAID og injektion af binyrebarkhormon), ledskånende træning, vægttab og kirugisk behandling i form af ledkorrektion og ledprotese. 	Undgå ekstrem belastning ved sportsaktiviteter og på arbejdspladsen. Vægtreduktion er en væsentlig forebyggende faktor. 	Prognosen er afhængig af smerte- og funktionsniveauet. Opretholdelse af skånsom træning af muskelfunktionen over leddet. 	Mellem
Diskusprolaps i lænden 		Bevægeapparatets sygdomme	Lumbal diskusprolaps er en degenerativ reumatisk sygdom, der skyldes udposning af båndskivens bløde kerne gennem en åbning i den fibrøse ring i båndskivens periferi. 	1-3% rammes hyppist i 30-50 års alderen og ses lidt hyppere hos mænd end kvinder. 	Båndskiven består af en blød kerne og en fibrøs hinde. Den fibrøse hinde begynder allerede i den tidlige voksenalder at degenerere. Der opstår sprækker i senevævet, hvilket kan nå ud til den ydre afgrænsning. Den bløde kerne er lokalirriteret og medfører ødem, hvilket samlet kan medføre tryk på nerveroden. Ved en uopdaget diskuprolaps er der ingen lokal inflammation ellers er pladsforholdene så gode, at nerveroden kan displaceres af prolapsen uden at blive påvirket af det. 	Discus har ingen karforsyning og ernæres ved diffusion fra de tilgrænsende strukturer. Med alderen ændres bindevævet i i discus, vandinholdet aftager og der opstår sprkker i annulus fibrosus. Genetiske faktorer har betydning for dette idet degenerative forandringers debutalder er genetisk bestemt. Dårlige arbejdsstillinger med belastninger i form af løft med ryggen i roteret stilling kan også medføre det. 	Smerter lokalt i lænden svarende til det segment, som rammes. Afhængig af om nerveroden rammes kan smerter, føleforstyrrelser og evt. lammelser opstå i benet. Lændens holdning ændres for at aflaste. Nedsat bevægelselighed i alle retninger. Ved store prolapser kan der komme påvirkning af alle nerverødder neden for rygmarven, hvilket kan forstyrre bækkenbund og lukkemuskulatur, hvilket medføre tab af evne til at tømme blæren eller holde på urinen/luft/afføring. Denne tilstand kræver akut behandling.  	Nerverodpåvirkning diagnostiseres ved test: strakt benløft medfører udstrålende smerte. Lammelser af muskler, der styres af den påvirkede nerve. Føleforstyrrelser. Afsvækkede elelr ophævede reflekser i den påvirkede nerverods område. MR-scanning viser præcist, hvilke nerverødder der er tale om, hvilket er vigtigt, hvis der skal foretages kirurigsk indgreb. 	Der kan komme blivende irritationsfænomener fra nerverødderne, neuropati med snurrende/jagende smerte. Kan i værste tilfælde give permanent kraftnedsættelse/lammelse og permenente følelforstyrrelser. 	Aflastning for patienten er nødvendigt for ikke at provokere smerterne. Klarer sig dog bedst, hvis de holder sig i gang. Medicinsk behandling give NSAID. Hos 5-10% af patienterne kommer operation på rale, hvis der er fremskridende lammelse eller uholdbar smertesituation. 	Rygestop, fornuftig motion og undgåelse af løft under samtidig rotation i ryggen. Undgå for meget stillesiddende arbejde. 	I de fleste tilfælde forsvinder prolapsen kun delvist, men den inflammatoriske proces kan aftage og smerterne reduceres. 1/3 af patienterne med symptomgivende proplaps udvikler smerter i større eller mindre omfang. 	Høj
